Demand trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20231127193122

Parameters
Date range,01 Jan 2019 - 31 Oct 2023
Region type,New Zealand
Time scale,Month
Show,GWh

Period start,Period end,Region ID,Region,Demand (GWh),Demand ($)
01/01/2019,01/02/2019,NZ,New Zealand,3363.815,451434647.79
01/02/2019,01/03/2019,NZ,New Zealand,3128.506,527429365.54
01/03/2019,01/04/2019,NZ,New Zealand,3362.934,614537463.57
01/04/2019,01/05/2019,NZ,New Zealand,3286.328,369795740.46
01/05/2019,01/06/2019,NZ,New Zealand,3527.979,396339525.59
01/06/2019,01/07/2019,NZ,New Zealand,3644.598,402503757.56
01/07/2019,01/08/2019,NZ,New Zealand,3793.271,424428232.59
01/08/2019,01/09/2019,NZ,New Zealand,3882.795,520555111.93
01/09/2019,01/10/2019,NZ,New Zealand,3555.084,453950671.98
01/10/2019,01/11/2019,NZ,New Zealand,3516.429,461789585.03
01/11/2019,01/12/2019,NZ,New Zealand,3290.908,360985815.73
01/12/2019,01/01/2020,NZ,New Zealand,3348.963,121877063.65
01/01/2020,01/02/2020,NZ,New Zealand,3392.296,311838119.88
01/02/2020,01/03/2020,NZ,New Zealand,3212.346,219831148.17
01/03/2020,01/04/2020,NZ,New Zealand,3296.679,218600242.76
01/04/2020,01/05/2020,NZ,New Zealand,2834.598,137765591.39
01/05/2020,01/06/2020,NZ,New Zealand,3508.203,473674643.70
01/06/2020,01/07/2020,NZ,New Zealand,3601.587,617186630.32
01/07/2020,01/08/2020,NZ,New Zealand,3885.162,606731937.38
01/08/2020,01/09/2020,NZ,New Zealand,3746.627,443483564.93
01/09/2020,01/10/2020,NZ,New Zealand,3557.671,492762441.80
01/10/2020,01/11/2020,NZ,New Zealand,3524.138,436363514.05
01/11/2020,01/12/2020,NZ,New Zealand,3282.677,321151524.81
01/12/2020,01/01/2021,NZ,New Zealand,3319.776,391416273.08
01/01/2021,01/02/2021,NZ,New Zealand,3251.758,457011004.61
01/02/2021,01/03/2021,NZ,New Zealand,3065.085,768276182.90
01/03/2021,01/04/2021,NZ,New Zealand,3367.803,877560894.96
01/04/2021,01/05/2021,NZ,New Zealand,3271.144,917625737.27
01/05/2021,01/06/2021,NZ,New Zealand,3613.144,1090352786.36
01/06/2021,01/07/2021,NZ,New Zealand,3620.248,973632782.33
01/07/2021,01/08/2021,NZ,New Zealand,3911.043,735531054.58
01/08/2021,01/09/2021,NZ,New Zealand,3735.518,605417236.14
01/09/2021,01/10/2021,NZ,New Zealand,3500.675,321780908.04
01/10/2021,01/11/2021,NZ,New Zealand,3417.332,239564546.38
01/11/2021,01/12/2021,NZ,New Zealand,3283.579,286461270.21
01/12/2021,01/01/2022,NZ,New Zealand,3250.744,199013423.28
01/01/2022,01/02/2022,NZ,New Zealand,3309.088,541867471.75
01/02/2022,01/03/2022,NZ,New Zealand,2994.316,452849903.11
01/03/2022,01/04/2022,NZ,New Zealand,3322.279,690725297.61
01/04/2022,01/05/2022,NZ,New Zealand,3193.306,658236921.91
01/05/2022,01/06/2022,NZ,New Zealand,3506.596,774979966.72
01/06/2022,01/07/2022,NZ,New Zealand,3626.541,630493747.42
01/07/2022,01/08/2022,NZ,New Zealand,3867.454,419989926.72
01/08/2022,01/09/2022,NZ,New Zealand,3819.744,194384435.15
01/09/2022,01/10/2022,NZ,New Zealand,3555.704,214995640.55
01/10/2022,01/11/2022,NZ,New Zealand,3525.148,277414018.94
01/11/2022,01/12/2022,NZ,New Zealand,3236.180,136442715.48
01/12/2022,01/01/2023,NZ,New Zealand,3235.158,62057590.81
01/01/2023,01/02/2023,NZ,New Zealand,3269.672,405127494.41
01/02/2023,01/03/2023,NZ,New Zealand,2987.830,463511942.76
01/03/2023,01/04/2023,NZ,New Zealand,3262.196,497119379.14
01/04/2023,01/05/2023,NZ,New Zealand,3181.888,295938864.14
01/05/2023,01/06/2023,NZ,New Zealand,3561.298,253325016.72
01/06/2023,01/07/2023,NZ,New Zealand,3637.673,352356350.69
01/07/2023,01/08/2023,NZ,New Zealand,3827.581,453220866.38
01/08/2023,01/09/2023,NZ,New Zealand,3992.577,578467391.65
01/09/2023,01/10/2023,NZ,New Zealand,3491.166,428035615.49
01/10/2023,01/11/2023,NZ,New Zealand,3471.290,426856974.81
