Generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20231127193318

Parameters
Date range,01 Jan 2019 - 31 Oct 2023
Region type,New Zealand
Time scale,Month
Show,GWh

Period start,Period end,Region ID,Region,Generation (GWh),Generation ($)
01/01/2019,01/02/2019,NZ,New Zealand,3468.464,443564585.35
01/02/2019,01/03/2019,NZ,New Zealand,3229.050,515956370.83
01/03/2019,01/04/2019,NZ,New Zealand,3469.392,603730602.98
01/04/2019,01/05/2019,NZ,New Zealand,3398.212,361426183.88
01/05/2019,01/06/2019,NZ,New Zealand,3658.976,385273471.40
01/06/2019,01/07/2019,NZ,New Zealand,3786.204,390119819.03
01/07/2019,01/08/2019,NZ,New Zealand,3921.138,413852350.39
01/08/2019,01/09/2019,NZ,New Zealand,4003.442,508738254.67
01/09/2019,01/10/2019,NZ,New Zealand,3656.790,445998515.95
01/10/2019,01/11/2019,NZ,New Zealand,3621.822,453386847.70
01/11/2019,01/12/2019,NZ,New Zealand,3420.051,350027020.54
01/12/2019,01/01/2020,NZ,New Zealand,3478.177,114502336.48
01/01/2020,01/02/2020,NZ,New Zealand,3503.246,303114094.49
01/02/2020,01/03/2020,NZ,New Zealand,3328.622,206330581.15
01/03/2020,01/04/2020,NZ,New Zealand,3406.069,208611035.27
01/04/2020,01/05/2020,NZ,New Zealand,2929.658,135130344.65
01/05/2020,01/06/2020,NZ,New Zealand,3628.136,461988123.46
01/06/2020,01/07/2020,NZ,New Zealand,3708.793,604036809.32
01/07/2020,01/08/2020,NZ,New Zealand,4006.675,592575498.40
01/08/2020,01/09/2020,NZ,New Zealand,3862.151,433960274.79
01/09/2020,01/10/2020,NZ,New Zealand,3671.199,480851292.52
01/10/2020,01/11/2020,NZ,New Zealand,3643.021,422393937.89
01/11/2020,01/12/2020,NZ,New Zealand,3396.300,311571996.59
01/12/2020,01/01/2021,NZ,New Zealand,3430.097,383311477.47
01/01/2021,01/02/2021,NZ,New Zealand,3350.385,449673894.98
01/02/2021,01/03/2021,NZ,New Zealand,3155.434,754115448.95
01/03/2021,01/04/2021,NZ,New Zealand,3469.448,862744260.01
01/04/2021,01/05/2021,NZ,New Zealand,3364.546,903089208.48
01/05/2021,01/06/2021,NZ,New Zealand,3721.582,1069353814.22
01/06/2021,01/07/2021,NZ,New Zealand,3726.375,954683608.80
01/07/2021,01/08/2021,NZ,New Zealand,4038.536,717342161.88
01/08/2021,01/09/2021,NZ,New Zealand,3857.345,586241402.96
01/09/2021,01/10/2021,NZ,New Zealand,3628.550,308848033.34
01/10/2021,01/11/2021,NZ,New Zealand,3553.191,229007288.80
01/11/2021,01/12/2021,NZ,New Zealand,3403.929,278227955.88
01/12/2021,01/01/2022,NZ,New Zealand,3381.211,189707594.68
01/01/2022,01/02/2022,NZ,New Zealand,3422.653,530192242.96
01/02/2022,01/03/2022,NZ,New Zealand,3102.203,439771282.70
01/03/2022,01/04/2022,NZ,New Zealand,3434.323,674434283.70
01/04/2022,01/05/2022,NZ,New Zealand,3302.739,641571166.66
01/05/2022,01/06/2022,NZ,New Zealand,3612.613,758459408.25
01/06/2022,01/07/2022,NZ,New Zealand,3750.921,614657095.33
01/07/2022,01/08/2022,NZ,New Zealand,4004.095,408778010.91
01/08/2022,01/09/2022,NZ,New Zealand,3954.868,187328649.67
01/09/2022,01/10/2022,NZ,New Zealand,3681.700,208853191.18
01/10/2022,01/11/2022,NZ,New Zealand,3644.006,269340790.50
01/11/2022,01/12/2022,NZ,New Zealand,3376.061,127790715.60
01/12/2022,01/01/2023,NZ,New Zealand,3369.102,58259778.30
01/01/2023,01/02/2023,NZ,New Zealand,3389.219,390789042.82
01/02/2023,01/03/2023,NZ,New Zealand,3090.912,453219232.56
01/03/2023,01/04/2023,NZ,New Zealand,3363.426,483624452.74
01/04/2023,01/05/2023,NZ,New Zealand,3291.537,284944914.72
01/05/2023,01/06/2023,NZ,New Zealand,3692.450,244086644.19
01/06/2023,01/07/2023,NZ,New Zealand,3782.153,334323826.78
01/07/2023,01/08/2023,NZ,New Zealand,3951.188,442163426.13
01/08/2023,01/09/2023,NZ,New Zealand,4117.340,564267270.51
01/09/2023,01/10/2023,NZ,New Zealand,3601.997,417885265.50
01/10/2023,01/11/2023,NZ,New Zealand,3597.429,414488470.57
